Code, Label, LangCode
"394", "CARICOM", "FR"
"396", "CARICOM exc Haiti", "FR"
"387", "CARIFORUM exc Haiti", "FR"
"464", "CCA", "FR"
"262", "CE", "FR"
"438", "CEA", "FR"
"441", "CEE", "FR"
"367", "CEMN", "FR"
"439", "CEPALC", "FR"
"456", "CEPGL", "FR"
"440", "CESAO", "FR"
"345", "CESAP", "FR"
"40", "Chili", "FR"
"351", "Chine", "FR"
"357", "Chine", "FR"
"96", "Chine - RAS de Hong-Kong", "FR"
"128", "Chine - RAS de Macao", "FR"
"265", "Chine ex.com", "FR"
"41", "Chine, continentale", "FR"
"214", "Chine, Taiwan Province de", "FR"
"50", "Chypre", "FR"
"457", "CILSS", "FR"
"245", "Cisjordanie", "FR"
"44", "Colombie", "FR"
"436", "Com Écon&Monét Afr-Cen", "FR"
"435", "Com Ets Sahelo-Sahariens", "FR"
"455", "Comm Écon États Afr Cent", "FR"
"458", "Comm Écon États AfrOuest", "FR"
"474", "Comm États Indépendants", "FR"
"45", "Comores", "FR"
"461", "Comun Dévelop Afri Aus", "FR"
"46", "Congo", "FR"
"465", "Conseil Coopér du Golfe", "FR"
"48", "Costa Rica", "FR"
"107", "Côte d'Ivoire", "FR"
"478", "CPS", "FR"
"98", "Croatie", "FR"
"49", "Cuba", "FR"
"408", "CUEA", "FR"
"54", "Danemark", "FR"
"72", "Djibouti", "FR"
"55", "Dominique", "FR"
"503", "Donateurs Au", "FR"
"432", "ECO", "FR"
"59", "Égypte", "FR"
"60", "El Salvador", "FR"
"225", "Émirats arabes unis", "FR"
"58", "Équateur", "FR"
"178", "Érythrée", "FR"
"203", "Espagne", "FR"
"63", "Estonie", "FR"
"476", "États Membres FAO", "FR"
"231", "États-Unis d'Amérique", "FR"
"238", "Éthiopie", "FR"
"62", "Éthiopie RDP", "FR"
"361", "Europe", "FR"
"5400", "Europe", "FR"
"329", "Europe & États Baltes", "FR"
"425", "Europe & Israël", "FR"
"371", "Europe (ex)", "FR"
"5401", "Europe de l'Est", "FR"
"303", "Europe de l'Ouest", "FR"
"5404", "Europe de l'Ouest", "FR"
"5402", "Europe du Nord", "FR"
"5403", "Europe du Sud", "FR"
"334", "Europe Orientale", "FR"
"427", "Europe, Non-UE (15) Pays", "FR"
"468", "Ex Rép Dém Pop Éthiopie", "FR"
"466", "Ex Rép Féd Soc Yougoslav", "FR"
"473", "Ex Tchécoslovaquie", "FR"
"469", "Ex URSS", "FR"
"322", "Extreme-Orient", "FR"
"803", "Extreme-Orient", "FR"
"822", "Extreme-Orient", "FR"
"349", "Extrême-Orient & Océanie", "FR"
"805", "Extrême-Orient & Océanie", "FR"
